/generic_texts/(.... wav)	character	text	
liebreTortuga3_6	Hombre	¿Ca 'eetec ana naloxo?	
unirRopa_1	Mujer	¿Negue't na nogoxot ỹaatañi ra nogotolec? ¿Qaq ara nogotole? 	
unirRopa_2	Mujer	Ara nogotole ỹaatañi ara aro'o togaxarai qaq ra nogotolec ỹaatañi ara aro'o rarala	
unirRopa_3	Mujer	Ara nogotole ỹaatañi ara maxaso qovi qaq ra nogotolec ỹaatañi ara maxaso imalaq	
unirRopa_4	Mujer	Ara nogotole ỹaatañi ra lomaxaqui togaxaraic qaq ra nogotolec ỹaatañi ra lomaxaqui lairaxaic	
toca_palabra_a	Mujer	Ahora vos, nombrá estos dibujos como Uriel y tocá todo lo que empieza como azul.	
escucha_toca_ropa_1	Mujer	¿Negue’t na nogoxot?	
miyo_nashiyo	Mujer	¿Negue’t ca na’aqtac ’eetea’am lshiinec so na’aqtac “miỹo"? 	
liebreTortuga2_7	Hombre	¿Negue’t ca ỹo’ot ñeua potaxanaxat qataq lerma?	
liebreTortuga3_8	Hombre	¿’Eetec añi lerma ra ime ra ỹagueec ana naloxo? ¿Negue’t ca ỹo’ot?	
liebreTortuga3_9	Hombre	¿Negue't ca ỹo’ot ñe potaxanaxat?  	
toca_pantalones	Mujer	¿Lcate’ aye maxasopi?	
liebreTortuga3_10	Hombre	¿Ta’anco’ ye ro’oche añe lerma?	
liebreTortuga4_11	Hombre	¿Negue’t ca ralegaxan aso naloxo? ¿Ta’anco'?	
diferenciasLiebreTortuga_2	Hombre	¿Negue'e ca huotaique ỹo'ot añe lerma qataq ñe potaxanaxat? ¿Negue't ca na'aq laloxoqui?	
diferenciasLiebreTortuga_3	Hombre	¿Ca 'eetec ra ime añi lerma qataq potaxanaxat? ¿Negue't ca na'aq laloxoqui?	
laberinto_tortuga	Mujer	 'Atauan ñe potaxanaxat yaqto' rauegaxan.	
pela_pela	Hombre	¿Negue’t ca na’aqtac ’eetea’am lshiinec so na’aqtac “pela”? 	
toca_estrellas	Mujer	¿Lcate’ aye huaqajñepi?	
escucha_repeti_ropa	Mujer	’Ana’axaỹaxana ra le’enaxat na nogoxot ime taq ’avi’iguelaxalec	
liebreTortuga4_12	Hombre	¿’Eetec qo’ollaxa ime?	
toca_o	Mujer	Tocá todo lo que empieza como oso.	
escucha_repeti_cosas_cielo	Mujer	’Ana’axaỹaxana ra le’enaxat na neto’ot na piguem ime taq ’avi’iguelaxalec	
toca_nubes	Mujer	‘Apoteua’a ‘enauac na napo. ¿Lcate’ yeua napo?	
toca_ropa	Hombre	‘Apoteua’a ‘enauac ye nogoxot taq ‘anasaxauec na le’enaxat.	
danyAmigos4_11	Mujer	¿Qué pasó con la pelota? 	Integracion 2
danyAmigos5_12	Mujer	¿Qué hicieron Dany y sus amigos?	
toca_m	Mujer	Ahora vos, nombrá estos dibujos como Uriel y tocá todo lo que empieza como mano.	
animalesDiaNoche_1	Hombre	¿Negue't ye shiguiỹacpi? ¿Lagui qana'axaỹaxana? ¿na'aq qalqo' pe?	
cielos_1	Hombre	Apoteu'a ñi ne'enaqtac na nte'eta. ¿'Eetec na piguem?	
cielos_2	Hombre	Apoteu'a ñi ne'enaqtac na avit. ¿'Eetec na piguem?	
cielos_3	Hombre	Apoteu'a ñi ne'enaqtac na pe. ¿'Eetec na piguem?	
ropas_1	Mujer	Maxaso late'erai imalaq qapiole togaxarai	
ropas_2	Mujer	Pela' lta'araic lairaxaic qapiolec lapagaxaic	
muñecaColores_1	Mujer	Muñeca lapique rarala na lỹa lapique qovi	
muñecaColores_2	Mujer	Muñeca lapia' togaxaraic na lỹa lapia' imalaq	
muñecaColores_3	Mujer	Muñeca lhuaq lairaxaic na lỹa lhuaq 'alhualec	
liebreTortuga3_13	Hombre	¿Negue’t ca rauegaxan aso aloxo? ¿Ta’anco'? ¿Ca 'eetec?	
estados_liebre	Mujer	¿Ca 'eetec añe lerma?	
danyFamilia_12	Mujer	Dany lauo’: lapiyel Juan, Eluisa, lta’al Beatriz, Argelio. 	
danyFamilia_13	Mujer	Ara lcote ŷapaxaŷaqtac añe  napava cha’aye huotaique ŷo’ot ca cocido. Ara late’e rsogaxaatac qaq ra lta’a  ichectapigui ye nŷaq cha’aye so pe nache rque’epi	
danyFamilia_1	Hombre	’Ena’ na lauo’ ñi Dany: late’e, lta’a, lcote, lapi’	Dany y su familia
danyFamilia_2	Hombre	¿Negue’t na ỹo’ottac? ¿Negue’t na iueetac? 	
danyFamilia_110	Hombre	¿Negue’t soua Juan, Eluisa, Beatriz qataq Argelio?	
escucha_repeti_familia	Mujer	’Ana’axaỹaxana negue’t so lauo’ so Dany, ime taq ’avi’iguelaxalec. 	
escucha_repeti_instrumentos_cocina	Mujer	’Ana’axaỹaxana ra le’enaxat na sochaqna huetaña na ’arma’, ime taq ’avi’iguelaxalec.	
osoOsito_1	Dany	¿Con quién está el osito?	
osoOsito_2	Nasheli	¿Qué le dice el papá al osito?	
danyFamilia2_3	Hombre	¿Negue’t ca na’aictegue so Dany? ’Antoueeta’ac ca le’enaxat. 	
danyFamilia2_4	Hombre	¿Ca ’eetec so quetaq llalec lapagaxaic? ¿Ca huetague? 	
danyFamilia2_5	Mujer	¿Hay más chivos? ¿Dónde?	
danyFamilia1_3	Hombre	¿Negue’t na ỹo’ottac so Dany, lauo’ qataq so lalo pioq?	
danyFamilia1_9	Mujer	¿Ca ’eetec so quetaq llalec lapagaxaic?	
danyFamilia_10	Mujer	¿Cómo es tu familia? ¿Qué haces con tu familia?	
diferenciasDanyFamilia_1	Mujer	¿Dónde está el chivito blanco: adentro o afuera del corral? ¿Y Dany?	
diferenciasDanyFamilia_2	Mujer	¿Y en la segunda imagen? ¿Dónde está el chivito blanco: adentro o afuera del corral? ¿Y Dany?	
corralAnimales_1	Mujer	¿Ca neta'ague ye shiguiyacpi: pa'atauo qalqo pa'atauec?	
perritoLugares_1	Mujer	¿Dónde está el perrito?	
gatitoLugares_1	Mujer	¿Dónde está el gatito?	
danyFamilia1_3	Mujer	¿Qué hacen Dany, su familia y su perro?	
danyFamilia1_4	Mujer	¿Qué pasa con el chivito?	
laberinto_dany_familia_1	Mujer	 'Atauan ñe quetaq llalec yaqto' taigui añe laỹi'.	
danyFamilia3_5	Hombre	So quetaq llalec mashe pa’auo taigue aso laỹe’, ¿negue’t so ỹo’ot so Dany? ¿Ta’anco’?	
danyFamilia3_6	Hombre	Mashe ime, ¿ca huetague aca quetaqpi?	
danyFamilia_8	Hombre	¿Negue’t re’eraua? ¿Negue’t naua huo’oi?	
danyFamilia_9	Hombre	¿Negue’t na ỹo’ottac so Dany qataq lapi’? 	
toca_cucharas	Mujer	‘Apoteua’a ‘enauac ye nemecpi. ¿Lcate’ ye nemecpi? 	
danyFamilia2_7	Hombre	¿Ta’anco’ ra imauec qaicanapec so quetaq llalec lapagaxaic?	
danyFamilia2_8	Hombre	¿Ta’anco’ so Dany qataq lauo’ ra pa’auo naqa’en aso quetaqpi?	
familia_1	Hombre	¿Ca ’eetec na arhuo’? ¿Negue’t na ’auo’ot na arhuo’?	
familia_2	Mujer	¿Negue't ca ỹoqta 'arqopita ra 'auo'ot? ¿negue't ca 'arỹa? ¿ta'anco'?	
caperucitaRoja_1	Hombre	¿’Auauatton ara nogotole? Le’enaxat ara Caperucita Roja. 	Caperucita Roja
caperucitaRoja_2	Hombre	¿’Eetec ra no’otaxac? ¿’Eetec ra lo’oxoỹaxac na logoxot? 	
caperucitaRoja_3	Hombre	¿Negue’t ra lasoqta’a? ¿’Oonole quetaigui na aviaq?  	
escucha_repeti_partes_cara	Mujer	’Ana’axaýaxana naua le’enqa’ate na lashec na shiýaxaua, ime taq ’avi’iguelaxalec.	
caperucitaRoja1_1	Hombre	¿Negue’t so ỹanem aso late’e ara Caperucita? ¿Negue’t ca lalamaxat na nallec? 	
caperucitaRoja2_2	Hombre	¿Negue’t ca ncañoxottaigui na aviaq? ¿Negue’t na ita’aguet ra Lobo? 	
caperucitaRoja2_3	Hombre	¿Hua’ague ca ’aigue Caperucita? ¿Negue’t na ỹachetac?	
caperucitaRoja3_4	Hombre	¿Negue’t ca natenaguet na aviaq? 	
caperucitaRoja33_5	Hombre	¿Ta’anco’ so Lobo huotaique na’aqtaxane’ ara Caperucita? 	
caperucitaRoja33_6	Hombre	¿Negue’t ca huotaique ỹaỹaten? 	
toca_palabra_s	Mujer	Ahora vos, nombrá estos dibujos como Uma y tocá todo lo que empieza como sol.	
caperucitaRojapt2_1	Hombre	Ra taegue ye lma’ aca lcote ra Caprucita nache huo’oi naua dos nqa’aico. 	
caperucitaRojapt2_2	Hombre	¿’Eetec naua nqa’aico? ¿Negue’t ca lcateua’a nqa’aic so Lobo? ¿qaq aso Caperucita? 	
caperucitaRojapt2_3	Hombre	¿Ta’anco’ aso Caperucita ye lca’ateua’a so qoỹoqoolec [qaỹoqojlec] nqa’aic?	
caperucitaRojapt2_4	Hombre	¿Negue’t ca hua’auñi ra ivita ñi lma’ añi lcote? ¿Ta'anco'?	
caperucitaRojapt2_7	Hombre	¿Lcate’ soua nqa’aico taỹa’a ye lma’ aso lcote ara Caperucita? ¿’Eetec naua nqa’aico?	
caperucitaRojapt2_8	Hombre	So Lobo qataq Caperucita, ¿’oonolec so jetegue’ nqa’aic? 	
caperucitaRojapt2_9	Hombre	¿Ta’anco’ ra saq ’ena’at ra queguelo naua nqa’aico?	
caperucitaRoja3_10	Hombre	¿Ca ’eeta’ so Lobo ara Caperucita?	
laberinto_Caperucita	Mujer	 'Atauan añe Caperucita yaqto' ivira'a ye lma' añe lcote.	
caperucitaRojapt3_1	Hombre	¿Nachara ara lcote qalqo’ Lobo?	
caperucitaRojapt3_2	Hombre	¿Negue’t na logoxot ra Lobo?	
caperucitaRojapt3_3	Hombre	 ¿Ta’anco’ ra Lobo ye ’eeta’am ra logoxot ara ncote?	
alimentos_2	Hombre	¿’Auauatton ne’ena nallec? ¿’Eetec ca le’enaxat? ¿’Auauatton ca lỹa nallec?  	
toca_manzanas	Hombre	¿Cuántas manzanas hay? 	
caperucitaRoja5_11	Hombre	¿’Eetec aso ncote qolla nvi’ so Lobo? 	
caperucitaRoja56_12	Hombre	¿Negue’t na ỹo’ot aso ncote? ¿qaq so Lobo? 	
caperucitaRoja56_13	Hombre	¿Negue’t ca lalamaxat so nogoxot qataq copaxa ỹa’atañi ra Lobo?	
caperucitaRoja6_14	Hombre	¿Ta’anco’ ra Lobo ye ’eeta’am ra logoxot ara ncote?	
toca_palabra_l	Mujer	Ahora vos, nombrá estos dibujos como Uma y tocá todo lo que empieza como loro.	
caperucitaRoja6_15	Hombre	 Aso Caperucita ivideua ye lma’ aso lcote, ¿negue’t so ilalec? 	
caperucitaRoja7_16	Hombre	Nache, ¿ca ’eetec? ¿Negue’t so nvideu’a ye lma’ ara ncote? 	
caperucitaRoja8_17	Hombre	¿Negue’t ca ỹo’ot so lta’a? ¿qaq so Loobo?	
caperucitaRoja8_18	Hombre	 Ime nache, ¿ca ’eetec aso Caperucita qataq aso lcote? 	
cincoRatoncitos_1	Dany	¿Cuántos ratoncitos hay?	
cincoRatoncitos_2	Nasheli	¿Qué partes de la cara mueven?	
cincoRatoncitos_3	Nasheli	¿Por qué los ratoncitos corren al rincón?	
toca_alimentos	Hombre	Tocá todos los alimentos. Nombrá todo lo que tocás.	
unir_sentidos	Hombre	¿Qué parte de la cara usamos? Uní la parte la parte de la cara con el dibujo que corresponde.	
danyFamilia3_9	Hombre	¿Ca 'eetec so lalo quetaq so Dany?	Integración 3
unir_familia_elementos	Mujer	Lcote, late'e, lta'a so Dany yo'ot ca nallec. ¿Negue't na ro'onataxaatega? Hua'aiguet anqa'en ra shiỹaxaua ra ro'onataxaatega.	
alimentosColores_1	Nasheli	La banana es amarilla.	
alimentosColores_2	Nasheli	La manzana es roja.	
alimentosColores_3	Nasheli	La leche es blanca.	
caperucitaRoja6_19	Hombre	¿Ca 'eetec aso Caperucita qo'ollaxa namaqtexa aso lcote?	
caperucitaRoja5_20	Hombre	¿Ca 'eetec aso lcote aso Caperucita?	
caperucitaRoja7_21	Hombre	Qaq ime, ¿ca 'eetec? 	
elegi_lobo_ropa	Nasheli	El Lobo se viste como la abuela de Caperucita. Escuchá qué ropa usa y tocá la imagen que corresponde.	
animales_intro	Dany	Hablemos sobre animales	
liebreEstados_1	Hombre	¿’Eetec añi lerma: ỹa’amaqchiguiñe, i’elaq, nqui’iteec?	
letraA_1	Mujer	Aaaaa	
letraA_2	Mujer	¡Araña!	
letraO_1	Mujer	Oooo	
letraO_2	Mujer	¡Oso!	
cancion_animales_integracion	Mujer	A	
letraM_1	Mujer	Mmmmm	
letraM_2	Mujer	¡Mano!	
toca_objeto_diferente	Mujer	Apoteua'a na npe'eneguet. ¿Ta'anco ra npe'eneguet?	
letraE_1	Mujer	Eeeeeeeeee	
letraE_2	Mujer	¡Elefante!	
letraS2_1	Mujer	Ssssssss	
letraS2_2	Mujer	¡Sapo!	
completa_cancion	Mujer	Completá la canción!	
toca_osos	Mujer	‘Apoteua’a ‘enauac naua oso qapiolqa	
toca_abeja	Mujer	Tocá la abeja chica.	
toca_caballo	Mujer	Tocá el caballo mediano.	
toca_pato	Mujer	Tocá el pato grande.	
toca_gallo	Mujer	Tocá el gallo chico.	
toca_gato	Mujer	Tocá el gato mediano.	
toca_oveja	Mujer	Tocá la oveja grande.	
toca_cama	Mujer	Tocá la cama chica.	
toca_silla	Mujer	Tocá la silla mediana.	
toca_vaso	Mujer	Tocá el vaso grande.	
osoEstados_1	Hombre	¿Ca ’eetec so oso qapiolec da ñi’iguelaq? ¿Ralemata qalqo’ ỹa’amaqchiguiñe qalqo’ i’elaq? ¿Ta’anco?	
toca_perro_naranja	Mujer	Tocá el perro mediano naranja.	
toca_loro_rojo	Mujer	Tocá el loro chico rojo.	
toca_gallina_azul	Mujer	Tocá la gallina grande azul.	
toca_mono_amarillo	Mujer	Tocá el mono chico amarillo.	
frase_pelota3	Mujer	Que rima con carlota?	
frase_camion	Mujer	que rima con simon?	
toca_muñeca	Mujer	Tocá la muñeca grande rosa.	
toca_auto_amarillo	Mujer	Tocá el auto grande amarillo.	
toca_pelota_azul	Mujer	Tocá la pelota chica azul.	
toca_avion_rojo	Mujer	Tocá el avión grande rojo.	
frase_so	Mujer	que palabra termina como caracol	
toca_sol_amarillo	Mujer	Tocá el sol grande y amarillo.	
toca_luna_verde	Mujer	Tocá la luna grande y verde.	
toca_sol_azul	Mujer	Tocá el sol chico y azul.	
toca_luna_roja	Mujer	Tocá la luna chica y roja.	
toca_pantalon_amarillo	Mujer	Tocá el pantalon amarillo.	
toca_remera_rojo	Mujer	Tocá la remera roja.	
toca_ojotas_verdes	Mujer	Tocá las ojotas medianas verdes.	
toca_media_amarilla	Mujer	Tocá las medias grandes amarillas.	
frase_avion	Mujer	¿Qué palabra termina como Ramón?	
toca_jarras	Mujer	Tocá todas las jarras. ¿Cuántas jarras hay?	
toca_cuchillo_amarillo	Mujer	Tocá el cuchillo grande y amarillo.	
toca_tenedor_naranja	Mujer	Tocá el tenedor chico y naranja.	
toca_olla_azul	Mujer	Tocá la olla mediana y azul.	
alimentos_ubicacion	Mujer	¿Qué alimentos son? ¿Dónde están?	
danyPresentaAmigos	Mujer	Dany te presenta a sus amigos.	
tip_contar	Mujer	Contá cuantos objetos iguales hay y tocá el numero que corresponda.	
letraO3_1	Mujer	Ooooo	
letraO3_2	Mujer	¡Olgaxa!	
letraAQ2_1	Mujer	Aaaaaa	
letraAQ2_2	Mujer	Aỹat	
letraMQ2_1	Mujer	Mmmmm	
letraMQ2_2	Mujer	Miyo	
letraSQ2_1	Mujer	Ssssssss	
letraSQ2_2	Mujer	So’onaxaqui 	
danyAnimales3_2	Mujer	¿Qué quería hacer Dany con el pollito? So Dani, ¿negue’t ca huotaique ra ỹo’otec so ’olgaxa llalec?	
danyAnimales4_3	Mujer	Y entonces ¿qué pasó con la gallina? ¿Ca ’eetec aso ’olgaxa? 	
escuchar_repetir_animales	Mujer	‘Ana’axaýaxana ra le’enaxat ñe shiguiýac, ye lcata, ime taq ‘avi’iguelaxalec	
loroEmi_1	Mujer	Eeeeeemi	
loroEmi_2	Mujer	‘Eeeeeeeele’ Eeeeeemi	
loroEmi_3	Mujer	Aaaaaaỹem ‘eeeeeeeele’ Eeeeeemi	
danyFamilia_25	Hombre	¿Ca ’eetec aso quetaqpi late’eraipi? ¿Ca ’eetec so quetaq llalec lapagaxaic?	
letraEQ2_1	Mujer	Eeeeeeeeeeee	
letraEQ2_2	Mujer	Ele	
toca_pescados	Mujer	¿Lcate’ ye nỹaqpi?	
letraLQ2_1	Mujer	LLLLL	
letraLQ2_2	Mujer	Lerma	
laberinto_Abuela	Mujer	 'Atauan ara lcote ra Dany yaqto' ivira'a ana npaua. 	
letraNQ2_1	Mujer	Nnnnn	
letraNQ2_2	Mujer	Nala	
