story_id	name	folder	audioClip	texts	duration	display 0=Full 1=solo audio 2= solo texto		character
				Rápidamente se comió todo el plato de zapallo._- ¿Y? ¿Era o no era un zapallo?_- La verdad es que no sé, pero estaba riquísimo. ¡Gracias por la comida! 	3:54			
				El pícaro se levantó, se dio medio vuelta y se fue con una sonrisa en los labios. Así fue cómo un pícaro engañó a los Bustos y logró que le prepararan una rica comida con el zapallo más grande jamás visto en Troncón Robusto.				
zapallo_gigante:2	El Zapallo Gigante	zapallo_gigante	easy	Troncón Robusto era un pueblo chico y tranquilo. Los vecinos del pueblo trabajaban en el campo y por las tardes cuidaban los patios de sus casas donde crecían flores, plantas de verduras y árboles frutales. 	0:18	0		Mujer
				Un día, en el patio de la familia Bustos, nació una plantita de hojas gruesas y tallo finito, que con los días se hacía cada vez más larga. Pasaron unas cuantas lluvias y, una linda mañana de sol, apareció un pequeño zapallo. 	0:34			
				-¡Qué rico! - pensó Don Bustos - cuando crezca un poco más, voy a poder comer una rica sopa de zapallo. Pero Don Bustos no tuvo que esperar mucho. 	0:47			
				A la mañana siguiente, el pequeño zapallo se había convertido en un zapallo gigante que ocupaba la mitad del patio y era casi tan alto como la casa.	0:59			
				-¡Qué bueno! - dijo Pedrito Bustos - Me trepo hasta la punta y me deslizo por el tallo como si fuera un tobogán. 	1:06			
				-¡Ni lo sueñe, mi hijo! Yo con este zapallo voy a preparar ochocientos cincuenta y tres kilos de dulce - respondió Mamá Bustos. 	1:15			
				- ¡Ah, no! ¡Nadie toca mi zapallo! - ordenó Don Bustos - Primero lo llevo a la feria del pueblo para que todos vean qué verduras maravillosas crecen en el patio de Don Bustos. 	1:27			
				Y dicho esto, salió a buscar su camioneta. Con la ayuda de cinco vecinos muy forzudos, Don Bustos cargó el zapallo y salió rumbo a la feria.	1:40			
				Los chicos y los grandes miraban impresionados el zapallo._- ¡Qué zapallo robusto! ¿Cómo hizo para que sea tan grande, Don Bustos? 	1:50			
				- Y... La verdad es que Don Bustos no sabía qué contestar porque el zapallo había crecido solo, se había vuelto gigante como por arte de magia.	2:02			
				En eso se escuchó una voz y un recién llegado con cara de pícaro preguntó: "¿Y cómo están tan seguros de que esa cosa es un zapallo?". 	2:13			
				Todos se sorprendieron ante la pregunta y empezaron a explicar._-¿No ve que es naranja? Si fuera verde podría ser una sandía.	2:22			
				- Tan redondo como es, no puede ser una zanahoria._- Con esas hojas y ese tallo, solo puede ser un zapallo.	2:31			
				- ¡Ah, no, no! A mí si no me demuestran que es un zapallo, no les creo._- ¿Cómo que no me cree? ¿Qué tengo que hacer para demostrárselo? - preguntó desafiante Don Bustos. 	2:45			
				- Bueno, la única forma de saber si de verdad es un zapallo es probándolo. El zapallo tiene gusto a zapallo. 	2:55			
				A Don Bustos no le gustó la idea de cocinar su zapallo para un extraño. Pero como no quería que pensaran que era un mentiroso, aceptó. Y se pusieron a cocinar.	3:07			
				Cuando el zapallo estuvo listo, de la olla salía un aroma delicioso. Mamá Bustos hundió un tenedor en el zapallo y lo probó._- ¡Tiene gusto a zapallo! - gritó triunfante. 	3:20			
				- ¡Ah, no no! Acá el que tiene que probar soy yo - dijo el pícaro - ¡Sírvame por favor un buen plato de zapallo! 	3:31			
				Don Bustos estuvo a punto de negarse, pero se calló. Sentado en una mesa, el pícaro pidió sal y aceite y con un tenedor preparó el puré. 	3:41			
				Rápidamente se comió todo el plato de zapallo._- ¿Y? ¿Era o no era un zapallo?_- La verdad es que no sé, pero estaba riquísimo. ¡Gracias por la comida! 	3:54			
				El pícaro se levantó, se dio medio vuelta y se fue con una sonrisa en los labios. Así fue cómo un pícaro engañó a los Bustos y logró que le prepararan una rica comida con el zapallo más grande jamás visto en Troncón Robusto.				
zapallo_gigante:3	El Zapallo Gigante	zapallo_gigante	easy	Troncón Robusto era un pueblo chico y tranquilo. Los vecinos del pueblo trabajaban en el campo y por las tardes cuidaban los patios de sus casas donde crecían flores, plantas de verduras y árboles frutales. 	0:18	0		Mujer
				Un día, en el patio de la familia Bustos, nació una plantita de hojas gruesas y tallo finito, que con los días se hacía cada vez más larga. Pasaron unas cuantas lluvias y, una linda mañana de sol, apareció un pequeño zapallo. 	0:34			
				-¡Qué rico! - pensó Don Bustos - cuando crezca un poco más, voy a poder comer una rica sopa de zapallo. Pero Don Bustos no tuvo que esperar mucho. 	0:47			
				A la mañana siguiente, el pequeño zapallo se había convertido en un zapallo gigante que ocupaba la mitad del patio y era casi tan alto como la casa.	0:59			
				-¡Qué bueno! - dijo Pedrito Bustos - Me trepo hasta la punta y me deslizo por el tallo como si fuera un tobogán. 	1:06			
				-¡Ni lo sueñe, mi hijo! Yo con este zapallo voy a preparar ochocientos cincuenta y tres kilos de dulce - respondió Mamá Bustos. 	1:15			
				- ¡Ah, no! ¡Nadie toca mi zapallo! - ordenó Don Bustos - Primero lo llevo a la feria del pueblo para que todos vean qué verduras maravillosas crecen en el patio de Don Bustos. 	1:27			
				Y dicho esto, salió a buscar su camioneta. Con la ayuda de cinco vecinos muy forzudos, Don Bustos cargó el zapallo y salió rumbo a la feria.	1:40			
				Los chicos y los grandes miraban impresionados el zapallo._- ¡Qué zapallo robusto! ¿Cómo hizo para que sea tan grande, Don Bustos? 	1:50			
				- Y... La verdad es que Don Bustos no sabía qué contestar porque el zapallo había crecido solo, se había vuelto gigante como por arte de magia.	2:02			
				En eso se escuchó una voz y un recién llegado con cara de pícaro preguntó: "¿Y cómo están tan seguros de que esa cosa es un zapallo?". 	2:13			
				Todos se sorprendieron ante la pregunta y empezaron a explicar._-¿No ve que es naranja? Si fuera verde podría ser una sandía.	2:22			
				- Tan redondo como es, no puede ser una zanahoria._- Con esas hojas y ese tallo, solo puede ser un zapallo.	2:31			
				- ¡Ah, no, no! A mí si no me demuestran que es un zapallo, no les creo._- ¿Cómo que no me cree? ¿Qué tengo que hacer para demostrárselo? - preguntó desafiante Don Bustos. 	2:45			
				- Bueno, la única forma de saber si de verdad es un zapallo es probándolo. El zapallo tiene gusto a zapallo. 	2:55			
				A Don Bustos no le gustó la idea de cocinar su zapallo para un extraño. Pero como no quería que pensaran que era un mentiroso, aceptó. Y se pusieron a cocinar.	3:07			
				Cuando el zapallo estuvo listo, de la olla salía un aroma delicioso. Mamá Bustos hundió un tenedor en el zapallo y lo probó._- ¡Tiene gusto a zapallo! - gritó triunfante. 	3:20			
				- ¡Ah, no no! Acá el que tiene que probar soy yo - dijo el pícaro - ¡Sírvame por favor un buen plato de zapallo! 	3:31			
				Don Bustos estuvo a punto de negarse, pero se calló. Sentado en una mesa, el pícaro pidió sal y aceite y con un tenedor preparó el puré. 	3:41			
				Rápidamente se comió todo el plato de zapallo._- ¿Y? ¿Era o no era un zapallo?_- La verdad es que no sé, pero estaba riquísimo. ¡Gracias por la comida! 	3:54			
				El pícaro se levantó, se dio medio vuelta y se fue con una sonrisa en los labios. Así fue cómo un pícaro engañó a los Bustos y logró que le prepararan una rica comida con el zapallo más grande jamás visto en Troncón Robusto.				
zapallo_gigante:4	El Zapallo Gigante	zapallo_gigante	easy	Troncón Robusto era un pueblo chico y tranquilo. Los vecinos del pueblo trabajaban en el campo y por las tardes cuidaban los patios de sus casas donde crecían flores, plantas de verduras y árboles frutales. 	0:18	0		Mujer
				Un día, en el patio de la familia Bustos, nació una plantita de hojas gruesas y tallo finito, que con los días se hacía cada vez más larga. Pasaron unas cuantas lluvias y, una linda mañana de sol, apareció un pequeño zapallo. 	0:34			
				-¡Qué rico! - pensó Don Bustos - cuando crezca un poco más, voy a poder comer una rica sopa de zapallo. Pero Don Bustos no tuvo que esperar mucho. 	0:47			
				A la mañana siguiente, el pequeño zapallo se había convertido en un zapallo gigante que ocupaba la mitad del patio y era casi tan alto como la casa.	0:59			
				-¡Qué bueno! - dijo Pedrito Bustos - Me trepo hasta la punta y me deslizo por el tallo como si fuera un tobogán. 	1:06			
				-¡Ni lo sueñe, mi hijo! Yo con este zapallo voy a preparar ochocientos cincuenta y tres kilos de dulce - respondió Mamá Bustos. 	1:15			
				- ¡Ah, no! ¡Nadie toca mi zapallo! - ordenó Don Bustos - Primero lo llevo a la feria del pueblo para que todos vean qué verduras maravillosas crecen en el patio de Don Bustos. 	1:27			
				Y dicho esto, salió a buscar su camioneta. Con la ayuda de cinco vecinos muy forzudos, Don Bustos cargó el zapallo y salió rumbo a la feria.	1:40			
				Los chicos y los grandes miraban impresionados el zapallo._- ¡Qué zapallo robusto! ¿Cómo hizo para que sea tan grande, Don Bustos? 	1:50			
				- Y... La verdad es que Don Bustos no sabía qué contestar porque el zapallo había crecido solo, se había vuelto gigante como por arte de magia.	2:02			
				En eso se escuchó una voz y un recién llegado con cara de pícaro preguntó: "¿Y cómo están tan seguros de que esa cosa es un zapallo?". 	2:13			
				Todos se sorprendieron ante la pregunta y empezaron a explicar._-¿No ve que es naranja? Si fuera verde podría ser una sandía.	2:22			
				- Tan redondo como es, no puede ser una zanahoria._- Con esas hojas y ese tallo, solo puede ser un zapallo.	2:31			
				- ¡Ah, no, no! A mí si no me demuestran que es un zapallo, no les creo._- ¿Cómo que no me cree? ¿Qué tengo que hacer para demostrárselo? - preguntó desafiante Don Bustos. 	2:45			
				- Bueno, la única forma de saber si de verdad es un zapallo es probándolo. El zapallo tiene gusto a zapallo. 	2:55			
				A Don Bustos no le gustó la idea de cocinar su zapallo para un extraño. Pero como no quería que pensaran que era un mentiroso, aceptó. Y se pusieron a cocinar.	3:07			
				Cuando el zapallo estuvo listo, de la olla salía un aroma delicioso. Mamá Bustos hundió un tenedor en el zapallo y lo probó._- ¡Tiene gusto a zapallo! - gritó triunfante. 	3:20			
				- ¡Ah, no no! Acá el que tiene que probar soy yo - dijo el pícaro - ¡Sírvame por favor un buen plato de zapallo! 	3:31			
				Don Bustos estuvo a punto de negarse, pero se calló. Sentado en una mesa, el pícaro pidió sal y aceite y con un tenedor preparó el puré. 	3:41			
				Rápidamente se comió todo el plato de zapallo._- ¿Y? ¿Era o no era un zapallo?_- La verdad es que no sé, pero estaba riquísimo. ¡Gracias por la comida! 	3:54			
				El pícaro se levantó, se dio medio vuelta y se fue con una sonrisa en los labios. Así fue cómo un pícaro engañó a los Bustos y logró que le prepararan una rica comida con el zapallo más grande jamás visto en Troncón Robusto.				
zapallo_gigante:5	El Zapallo Gigante	zapallo_gigante	easy	vacio	0:06	0		Mujer
bicho_bolita	El Juego de los Bichos Bolita	bicho_bolita	easy	Ramón era el bicho bolita más pequeño de su familia. Tenía muchos amigos porque era muy travieso y juguetón.	0:12	1		Mujer
				Por eso, cada mañana, Ramoncito salía de su casa, que estaba debajo de las piedras, para saludar a los otros bichos y bichitos del jardín.	0:22			
				Pero aquel día pasó algo extraño. Apenas asomó la cabeza vio algo horrible: ¡un pájaro hambriento buscaba alimento entre las plantas! Y como los pájaros comen bichitos, ¡sus amigos estaban en peligro!	0:40			
				Las langostas saltaron lejos. Las mariposas, las vaquitas de San Antonio y las abejas volaron alto.	0:49			
				El ciempiés escapó caminando rápido. Las lombrices se escondieron en sus cuevitas bajo tierra.	0:58			
				Hasta las gatas peludas, que no saltan ni vuelan, pudieron escapar del pájaro asustándolo con sus pinches. ¡Todo había terminado bien!	1:08			
				Pero a Ramoncito algo lo preocupaba. ¿Podría su familia escapar tan rápido? Estaba tan intranquilo que ni siquiera pudo comer las tiernas raíces del almuerzo. Tampoco quiso jugar a las escondidas en los laberintos de las lombrices con sus hermanos.	1:27			
				Por la tarde, Doña Redondita, su mamá, le preguntó qué le pasaba. Ramoncito le contó lo que había visto en el jardín esa mañana. 	1:36			
				Y después le dijo: ¡Mamá, todos escaparon del pájaro pero nosotros no podemos volar ni correr rápido ni saltar alto! ¿Cómo podemos escapar los bichos bolita de los pájaros hambrientos? 	1:50			
				Doña Redondita abrazó muy fuerte a Ramón. Después le preguntó si había visto el juego que Don Redondón, su papá, les había enseñado a sus hermanos.	2:04			
				Ramoncito giró la cabeza y no pudo creer lo que sus ojos veían. Don Redondón perseguía a los pequeños bichitos bolita, pero si se acercaban mucho, ellos dejaban de caminar y se convertían en una perfecta bolita gris que rodaba rapidísimo. 	2:22			
				Desde ese día Ramoncito tuvo un nuevo juego preferido: la mancha bolita.				
bicho_bolita:2	El Juego de los Bichos Bolita	bicho_bolita	easy	Ramón era el bicho bolita más pequeño de su familia. Tenía muchos amigos porque era muy travieso y juguetón.	0:12	0		Mujer
				Por eso, cada mañana, Ramoncito salía de su casa, que estaba debajo de las piedras, para saludar a los otros bichos y bichitos del jardín.	0:22			
				Pero aquel día pasó algo extraño. Apenas asomó la cabeza vio algo horrible: ¡un pájaro hambriento buscaba alimento entre las plantas! Y como los pájaros comen bichitos, ¡sus amigos estaban en peligro!	0:40			
				Las langostas saltaron lejos. Las mariposas, las vaquitas de San Antonio y las abejas volaron alto.	0:49			
				El ciempiés escapó caminando rápido. Las lombrices se escondieron en sus cuevitas bajo tierra.	0:58			
				Hasta las gatas peludas, que no saltan ni vuelan, pudieron escapar del pájaro asustándolo con sus pinches. ¡Todo había terminado bien!	1:08			
				Pero a Ramoncito algo lo preocupaba. ¿Podría su familia escapar tan rápido? Estaba tan intranquilo que ni siquiera pudo comer las tiernas raíces del almuerzo. Tampoco quiso jugar a las escondidas en los laberintos de las lombrices con sus hermanos.	1:27			
				Por la tarde, Doña Redondita, su mamá, le preguntó qué le pasaba. Ramoncito le contó lo que había visto en el jardín esa mañana. 	1:36			
				Y después le dijo: ¡Mamá, todos escaparon del pájaro pero nosotros no podemos volar ni correr rápido ni saltar alto! ¿Cómo podemos escapar los bichos bolita de los pájaros hambrientos? 	1:50			
				Doña Redondita abrazó muy fuerte a Ramón. Después le preguntó si había visto el juego que Don Redondón, su papá, les había enseñado a sus hermanos.	2:04			
				Ramoncito giró la cabeza y no pudo creer lo que sus ojos veían. Don Redondón perseguía a los pequeños bichitos bolita, pero si se acercaban mucho, ellos dejaban de caminar y se convertían en una perfecta bolita gris que rodaba rapidísimo. 	2:22			
				Desde ese día Ramoncito tuvo un nuevo juego preferido: la mancha bolita.				
bicho_bolita:3	El Juego de los Bichos Bolita	bicho_bolita	easy	Ramón era el bicho bolita más pequeño de su familia. Tenía muchos amigos porque era muy travieso y juguetón.	0:12	0		Mujer
				Por eso, cada mañana, Ramoncito salía de su casa, que estaba debajo de las piedras, para saludar a los otros bichos y bichitos del jardín.	0:22			
				Pero aquel día pasó algo extraño. Apenas asomó la cabeza vio algo horrible: ¡un pájaro hambriento buscaba alimento entre las plantas! Y como los pájaros comen bichitos, ¡sus amigos estaban en peligro!	0:40			
				Las langostas saltaron lejos. Las mariposas, las vaquitas de San Antonio y las abejas volaron alto.	0:49			
				El ciempiés escapó caminando rápido. Las lombrices se escondieron en sus cuevitas bajo tierra.	0:58			
				Hasta las gatas peludas, que no saltan ni vuelan, pudieron escapar del pájaro asustándolo con sus pinches. ¡Todo había terminado bien!	1:08			
				Pero a Ramoncito algo lo preocupaba. ¿Podría su familia escapar tan rápido? Estaba tan intranquilo que ni siquiera pudo comer las tiernas raíces del almuerzo. Tampoco quiso jugar a las escondidas en los laberintos de las lombrices con sus hermanos.	1:27			
				Por la tarde, Doña Redondita, su mamá, le preguntó qué le pasaba. Ramoncito le contó lo que había visto en el jardín esa mañana. 	1:36			
				Y después le dijo: ¡Mamá, todos escaparon del pájaro pero nosotros no podemos volar ni correr rápido ni saltar alto! ¿Cómo podemos escapar los bichos bolita de los pájaros hambrientos? 	1:50			
				Doña Redondita abrazó muy fuerte a Ramón. Después le preguntó si había visto el juego que Don Redondón, su papá, les había enseñado a sus hermanos.	2:04			
				Ramoncito giró la cabeza y no pudo creer lo que sus ojos veían. Don Redondón perseguía a los pequeños bichitos bolita, pero si se acercaban mucho, ellos dejaban de caminar y se convertían en una perfecta bolita gris que rodaba rapidísimo. 	2:22			
				Desde ese día Ramoncito tuvo un nuevo juego preferido: la mancha bolita.				
bicho_bolita:4	El Juego de los Bichos Bolita	bicho_bolita	easy	Ramón era el bicho bolita más pequeño de su familia. Tenía muchos amigos porque era muy travieso y juguetón.	0:12	0		Mujer
				Por eso, cada mañana, Ramoncito salía de su casa, que estaba debajo de las piedras, para saludar a los otros bichos y bichitos del jardín.	0:22			
				Pero aquel día pasó algo extraño. Apenas asomó la cabeza vio algo horrible: ¡un pájaro hambriento buscaba alimento entre las plantas! Y como los pájaros comen bichitos, ¡sus amigos estaban en peligro!	0:40			
				Las langostas saltaron lejos. Las mariposas, las vaquitas de San Antonio y las abejas volaron alto.	0:49			
				El ciempiés escapó caminando rápido. Las lombrices se escondieron en sus cuevitas bajo tierra.	0:58			
				Hasta las gatas peludas, que no saltan ni vuelan, pudieron escapar del pájaro asustándolo con sus pinches. ¡Todo había terminado bien!	1:08			
				Pero a Ramoncito algo lo preocupaba. ¿Podría su familia escapar tan rápido? Estaba tan intranquilo que ni siquiera pudo comer las tiernas raíces del almuerzo. Tampoco quiso jugar a las escondidas en los laberintos de las lombrices con sus hermanos.	1:27			
				Por la tarde, Doña Redondita, su mamá, le preguntó qué le pasaba. Ramoncito le contó lo que había visto en el jardín esa mañana. 	1:36			
				Y después le dijo: ¡Mamá, todos escaparon del pájaro pero nosotros no podemos volar ni correr rápido ni saltar alto! ¿Cómo podemos escapar los bichos bolita de los pájaros hambrientos? 	1:50			
				Doña Redondita abrazó muy fuerte a Ramón. Después le preguntó si había visto el juego que Don Redondón, su papá, les había enseñado a sus hermanos.	2:04			
				Ramoncito giró la cabeza y no pudo creer lo que sus ojos veían. Don Redondón perseguía a los pequeños bichitos bolita, pero si se acercaban mucho, ellos dejaban de caminar y se convertían en una perfecta bolita gris que rodaba rapidísimo. 	2:22			
				Desde ese día Ramoncito tuvo un nuevo juego preferido: la mancha bolita.				
bicho_bolita:5	El Juego de los Bichos Bolita	bicho_bolita	easy	vacio	0:12	0		Mujer
zorro_hornero	El Zorro y el Hornero	zorro_hornero	easy	Una mañana fría de invierno, el zorro salió a buscar comida, tenía mucha hambre.	0:08	1		Mujer
				Caminando por el monte se encontró con un hornero. El hornero estaba en un charco sacando barro para hacer su casita. 	0:14			
				Los horneros construyen casas igual que los albañiles.	0:19			
				El zorro se acercó y atrapó al hornero. Pero no lo comió ahí mismo. Se fue al trote a la cueva con el hornero en la boca.	0:27			
				Cuando los pájaros del campo lo vieron se amontonaron para pedirle que suelte al hornero. Le gritaban "Largá al pobre hornerito".	0:35			
				El zorro se enojó mucho con los gritos de los pájaros, no quería que todos supiesen que se llevaban al hornerito.	0:42			
				Entonces el hornero, que es más vivo que el zorro, le dijo:_- Deciles que se dejen de joder, que qué les importa a ellos.	0:50			
				El zorro, que estaba enojadísimo, se paró, abrió la boca para hablar y el hornero aprovechó, se escapó y voló a un árbol.	0:58			
				Los pajaritos hicieron una fiesta, revoloteaban y cantaban y el zorro muy enojado volvió a su casa.				
zorro_hornero:2	El Zorro y el Hornero	zorro_hornero	easy	Una mañana fría de invierno, el zorro salió a buscar comida, tenía mucha hambre.	0:08	0		Mujer
				Caminando por el monte se encontró con un hornero. El hornero estaba en un charco sacando barro para hacer su casita. 	0:14			
				Los horneros construyen casas igual que los albañiles.	0:19			
				El zorro se acercó y atrapó al hornero. Pero no lo comió ahí mismo. Se fue al trote a la cueva con el hornero en la boca.	0:27			
				Cuando los pájaros del campo lo vieron se amontonaron para pedirle que suelte al hornero. Le gritaban "Largá al pobre hornerito".	0:35			
				El zorro se enojó mucho con los gritos de los pájaros, no quería que todos supiesen que se llevaban al hornerito.	0:42			
				Entonces el hornero, que es más vivo que el zorro, le dijo:_- Deciles que se dejen de joder, que qué les importa a ellos.	0:50			
				El zorro, que estaba enojadísimo, se paró, abrió la boca para hablar y el hornero aprovechó, se escapó y voló a un árbol.	0:58			
				Los pajaritos hicieron una fiesta, revoloteaban y cantaban y el zorro muy enojado volvió a su casa.				
zorro_hornero:3	El Zorro y el Hornero	zorro_hornero	easy	Una mañana fría de invierno, el zorro salió a buscar comida, tenía mucha hambre.	0:08	0		Mujer
				Caminando por el monte se encontró con un hornero. El hornero estaba en un charco sacando barro para hacer su casita. 	0:14			
				Los horneros construyen casas igual que los albañiles.	0:19			
				El zorro se acercó y atrapó al hornero. Pero no lo comió ahí mismo. Se fue al trote a la cueva con el hornero en la boca.	0:27			
				Cuando los pájaros del campo lo vieron se amontonaron para pedirle que suelte al hornero. Le gritaban "Largá al pobre hornerito".	0:35			
				El zorro se enojó mucho con los gritos de los pájaros, no quería que todos supiesen que se llevaban al hornerito.	0:42			
				Entonces el hornero, que es más vivo que el zorro, le dijo:_- Deciles que se dejen de joder, que qué les importa a ellos.	0:50			
				El zorro, que estaba enojadísimo, se paró, abrió la boca para hablar y el hornero aprovechó, se escapó y voló a un árbol.	0:58			
				Los pajaritos hicieron una fiesta, revoloteaban y cantaban y el zorro muy enojado volvió a su casa.				
zorro_hornero:4	El Zorro y el Hornero	zorro_hornero	easy	Una mañana fría de invierno, el zorro salió a buscar comida, tenía mucha hambre.	0:08	0		Mujer
				Caminando por el monte se encontró con un hornero. El hornero estaba en un charco sacando barro para hacer su casita. 	0:14			
				Los horneros construyen casas igual que los albañiles.	0:19			
				El zorro se acercó y atrapó al hornero. Pero no lo comió ahí mismo. Se fue al trote a la cueva con el hornero en la boca.	0:27			
				Cuando los pájaros del campo lo vieron se amontonaron para pedirle que suelte al hornero. Le gritaban "Largá al pobre hornerito".	0:35			
				El zorro se enojó mucho con los gritos de los pájaros, no quería que todos supiesen que se llevaban al hornerito.	0:42			
				Entonces el hornero, que es más vivo que el zorro, le dijo:_- Deciles que se dejen de joder, que qué les importa a ellos.	0:50			
				El zorro, que estaba enojadísimo, se paró, abrió la boca para hablar y el hornero aprovechó, se escapó y voló a un árbol.	0:58			
				Los pajaritos hicieron una fiesta, revoloteaban y cantaban y el zorro muy enojado volvió a su casa.				
zorro_hornero:5	El Zorro y el Hornero	zorro_hornero	easy	vacio	0:08	0		Mujer
risa_pajaros	La Risa de los Pájaros	risa_pajaros	easy	Cierta vez, las aves reunidas en un claro del monte, organizaron una carrera de vuelo. Ganaría el ave que pudiera volar más rápido y más alto que todas. 	0:12	1		Mujer
				Se anotaron para la competencia pajaritos de todas clases y colores. También había patos, gallinas, loros, caranchos, garzas, flamencos y muchos más...	0:24			
				Cuando llegó el día de la carrera, se prepararon todos los competidores en la línea de largada.	0:30			
				Sacudieron las alas y estiraron sus cogotes para aliviar los nervios. De pronto, se paró en el medio del grupo, un animal que se notaba que era un ave.	0:41			
				Tenía pico, plumas y dos patas, pero su cuerpo era tan robusto y alto que todos quedaron asombrados, con el pico abierto.	0:51			
				Un pajarito atrevido y curioso le preguntó:_- Y usted... ¿qué ave es?_El ave, en tono serio y en voz muy alta, le contestó:_- Soy el ñandú y vengo a participar de la carrera.	1:06			
				Todas las aves que se habían preparado para la largada, retrocedieron y se dispersaron. Tan imponente animal les causó miedo y pensaron que nadie podría desafiar a semejante ejemplar de ave.	1:21			
				Un rato después, aunque parecía que la carrera se suspendería, el ñandú permanecía amenazante esperando que alguien se animara a competir con él.	1:31			
				De pronto, un pajarito común se arrimó y dijo:_- Yo correré contra el ñandú._Cuando dieron la orden de largada, el pájaro alzó el vuelo con facilidad y avanzó velozmente alcanzando gran altura. 	1:44			
				En cambio, el ñandú corrió muy rápido, pero por más que agitó fuertemente sus enormes alas, no pudo elevar su pesado cuerpo ni un poquito.	1:53			
				El pájaro, por supuesto, llegó antes a la meta y se paró a mirar los esfuerzos que hacía el ñandú queriendo volar.	2:01			
				Le causó mucha gracia pero trató de contener la risa, al igual que las demás aves. Cuando el ñandú llegó a la meta, uno de los pajaritos, el más gracioso, no aguantó más y comenzó a reírse.	2:13			
				Los otros pajaritos se contagiaron y, de tanto que se rieron, la risa se convirtió en silbido.				
risa_pajaros:2	La Risa de los Pájaros	risa_pajaros	easy	Cierta vez, las aves reunidas en un claro del monte, organizaron una carrera de vuelo. Ganaría el ave que pudiera volar más rápido y más alto que todas. 	0:12	0		Mujer
				Se anotaron para la competencia pajaritos de todas clases y colores. También había patos, gallinas, loros, caranchos, garzas, flamencos y muchos más...	0:24			
				Cuando llegó el día de la carrera, se prepararon todos los competidores en la línea de largada.	0:30			
				Sacudieron las alas y estiraron sus cogotes para aliviar los nervios. De pronto, se paró en el medio del grupo, un animal que se notaba que era un ave.	0:41			
				Tenía pico, plumas y dos patas, pero su cuerpo era tan robusto y alto que todos quedaron asombrados, con el pico abierto.	0:51			
				Un pajarito atrevido y curioso le preguntó:_- Y usted... ¿qué ave es?_El ave, en tono serio y en voz muy alta, le contestó:_- Soy el ñandú y vengo a participar de la carrera.	1:06			
				Todas las aves que se habían preparado para la largada, retrocedieron y se dispersaron. Tan imponente animal les causó miedo y pensaron que nadie podría desafiar a semejante ejemplar de ave.	1:21			
				Un rato después, aunque parecía que la carrera se suspendería, el ñandú permanecía amenazante esperando que alguien se animara a competir con él.	1:31			
				De pronto, un pajarito común se arrimó y dijo:_- Yo correré contra el ñandú._Cuando dieron la orden de largada, el pájaro alzó el vuelo con facilidad y avanzó velozmente alcanzando gran altura. 	1:44			
				En cambio, el ñandú corrió muy rápido, pero por más que agitó fuertemente sus enormes alas, no pudo elevar su pesado cuerpo ni un poquito.	1:53			
				El pájaro, por supuesto, llegó antes a la meta y se paró a mirar los esfuerzos que hacía el ñandú queriendo volar.	2:01			
				Le causó mucha gracia pero trató de contener la risa, al igual que las demás aves. Cuando el ñandú llegó a la meta, uno de los pajaritos, el más gracioso, no aguantó más y comenzó a reírse.	2:13			
				Los otros pajaritos se contagiaron y, de tanto que se rieron, la risa se convirtió en silbido.				
risa_pajaros:3	La Risa de los Pájaros	risa_pajaros	easy	Cierta vez, las aves reunidas en un claro del monte, organizaron una carrera de vuelo. Ganaría el ave que pudiera volar más rápido y más alto que todas. 	0:12	0		Mujer
				Se anotaron para la competencia pajaritos de todas clases y colores. También había patos, gallinas, loros, caranchos, garzas, flamencos y muchos más...	0:24			
				Cuando llegó el día de la carrera, se prepararon todos los competidores en la línea de largada.	0:30			
				Sacudieron las alas y estiraron sus cogotes para aliviar los nervios. De pronto, se paró en el medio del grupo, un animal que se notaba que era un ave.	0:41			
				Tenía pico, plumas y dos patas, pero su cuerpo era tan robusto y alto que todos quedaron asombrados, con el pico abierto.	0:51			
				Un pajarito atrevido y curioso le preguntó:_- Y usted... ¿qué ave es?_El ave, en tono serio y en voz muy alta, le contestó:_- Soy el ñandú y vengo a participar de la carrera.	1:06			
				Todas las aves que se habían preparado para la largada, retrocedieron y se dispersaron. Tan imponente animal les causó miedo y pensaron que nadie podría desafiar a semejante ejemplar de ave.	1:21			
				Un rato después, aunque parecía que la carrera se suspendería, el ñandú permanecía amenazante esperando que alguien se animara a competir con él.	1:31			
				De pronto, un pajarito común se arrimó y dijo:_- Yo correré contra el ñandú._Cuando dieron la orden de largada, el pájaro alzó el vuelo con facilidad y avanzó velozmente alcanzando gran altura. 	1:44			
				En cambio, el ñandú corrió muy rápido, pero por más que agitó fuertemente sus enormes alas, no pudo elevar su pesado cuerpo ni un poquito.	1:53			
				El pájaro, por supuesto, llegó antes a la meta y se paró a mirar los esfuerzos que hacía el ñandú queriendo volar.	2:01			
				Le causó mucha gracia pero trató de contener la risa, al igual que las demás aves. Cuando el ñandú llegó a la meta, uno de los pajaritos, el más gracioso, no aguantó más y comenzó a reírse.	2:13			
				Los otros pajaritos se contagiaron y, de tanto que se rieron, la risa se convirtió en silbido.				
risa_pajaros:4	La Risa de los Pájaros	risa_pajaros	easy	Cierta vez, las aves reunidas en un claro del monte, organizaron una carrera de vuelo. Ganaría el ave que pudiera volar más rápido y más alto que todas. 	0:12	0		Mujer
				Se anotaron para la competencia pajaritos de todas clases y colores. También había patos, gallinas, loros, caranchos, garzas, flamencos y muchos más...	0:24			
